2026-02-10 08:15,CUST001,BEV-001
2026-02-10 08:15,CUST001,FOOD-001
2026-02-10 08:15,CUST001,FOOD-002
2026-02-10 08:30,CUST002,BEV-003
2026-02-10 08:30,CUST002,FOOD-004
2026-02-10 08:45,CUST003,BEV-002
2026-02-10 08:45,CUST003,BEV-004
2026-02-10 08:45,CUST003,BEV-005
2026-02-10 09:00,CUST004,FOOD-005
2026-02-10 09:00,CUST004,OTH-001
2026-02-10 09:15,CUST005,BEV-006
2026-02-10 09:30,CUST006,BEV-007
2026-02-10 09:30,CUST006,FOOD-003
2026-02-10 09:45,CUST007,OTH-002
2026-02-10 09:45,CUST007,BEV-001
2026-02-10 10:00,CUST008,FOOD-001
2026-02-10 10:00,CUST008,FOOD-003
2026-02-10 10:03,CUST009,
